fecha,precipitaciones,temperatura,humedad,consumo,evento
2021-10-06,0.0,25.0,59,675.66,Mancha CÃ³mic
2021-10-07,0.0,24.9,53,637.63,Mancha CÃ³mic
2021-10-08,0.0,27.0,42,694.99,Mancha CÃ³mic
2021-10-09,0.0,24.8,54,677.01,
2021-10-10,0.0,25.1,57,673.43,
2021-10-11,0.0,23.8,57,628.41,
2021-10-12,0.0,23.9,64,648.92,
2021-10-13,0.0,24.5,39,673.88,
2021-10-14,0.0,24.2,46,666.01,
2021-10-15,0.0,25.5,45,675.2,
2021-10-16,,25.2,45,711.21,
2021-10-17,0.0,25.2,51,702.53,
2021-10-18,0.0,24.8,61,643.0,
2021-10-19,0.0,25.3,60,683.02,
2021-10-20,0.0,26.3,55,719.02,
2021-10-21,0.0,23.2,49,658.34,
2021-10-22,0.0,20.5,65,640.95,
2021-10-23,0.0,20.1,60,637.2,
2021-10-24,0.0,21.5,50,624.79,
2021-10-25,0.0,21.6,50,646.56,
2021-10-26,0.0,20.6,52,654.24,
2021-10-27,0.0,20.2,65,672.91,
2021-10-28,0.0,21.5,52,634.59,
2021-10-29,9.8,17.9,75,728.79,
2021-10-30,43.2,18.1,92,750.46,
2021-10-31,1.8,20.9,87,714.54,Halloween
2021-11-01,0.0,19.1,80,737.31,
2021-11-02,2.4,13.9,75,753.25,
2021-11-03,0.0,13.8,68,706.62,
2021-11-04,2.2,14.0,75,750.1,
2021-11-05,0.0,12.3,65,696.44,
2021-11-06,0.0,12.3,60,697.25,
2021-11-07,0.0,12.8,56,743.33,
2021-11-08,0.0,16.8,55,706.96,
2021-11-09,0.0,16.1,63,665.17,
2021-11-10,0.0,15.9,64,687.26,
2021-11-11,0.0,16.6,63,696.68,
2021-11-12,0.0,16.1,69,684.44,
2021-11-13,0.0,18.4,68,665.2,
2021-11-14,0.0,18.0,64,695.75,
2021-11-15,0.0,15.2,61,710.84,DÃ­a de la EnseÃ±anza
2021-11-16,0.0,14.0,65,749.48,
2021-11-17,0.0,13.8,66,712.47,
2021-11-18,0.0,15.6,73,730.76,
2021-11-19,0.0,17.2,68,710.19,
2021-11-20,5.2,13.6,86,790.11,
2021-11-21,4.6,13.7,89,753.42,
2021-11-22,0.4,14.0,82,791.19,
2021-11-23,0.2,9.2,74,959.14,
2021-11-24,1.0,8.3,82,964.45,
2021-11-25,0.0,7.5,88,897.15,
2021-11-26,0.0,11.3,64,726.65,
2021-11-27,1.8,10.5,79,764.61,
2021-11-28,0.0,9.1,62,891.9,
2021-11-29,0.0,13.8,71,771.03,
2021-11-30,0.0,12.6,74,754.56,
2021-12-01,2.2,11.8,74,920.14,
2021-12-02,0.0,10.9,64,793.62,
2021-12-03,0.0,12.6,57,785.82,
2021-12-04,,10.4,82,824.25,
2021-12-05,0.0,11.5,65,791.64,
2021-12-06,0.0,13.2,71,845.18,
2021-12-07,1.6,11.9,85,844.76,
2021-12-08,,10.5,72,824.6,
2021-12-09,0.0,11.9,80,838.23,
2021-12-10,0.0,12.0,85,842.75,
2021-12-11,0.0,16.6,76,765.41,
2021-12-12,0.0,14.3,80,839.8,
2021-12-13,0.0,6.9,95,991.66,
2021-12-14,0.0,9.7,96,1038.73,
2021-12-15,0.0,14.8,69,827.03,
2021-12-16,0.0,14.0,69,784.04,
2021-12-17,0.0,12.0,78,833.36,
2021-12-18,0.0,11.7,77,830.54,
2021-12-19,0.0,13.1,79,853.16,
2021-12-20,0.0,12.4,82,789.46,
2021-12-21,2.2,15.1,88,898.77,
2021-12-22,0.0,15.9,80,856.61,
2021-12-23,7.0,14.0,91,836.06,
2021-12-24,1.4,13.8,84,847.02,
2021-12-25,3.8,13.4,91,848.21,Navidad
2021-12-26,1.2,13.6,89,919.51,
2021-12-27,0.6,16.8,78,880.98,
2021-12-28,0.0,14.9,78,796.75,
2021-12-29,0.0,14.2,82,806.94,
2021-12-30,0.0,9.9,96,993.34,
2021-12-31,0.0,15.7,84,834.56,AÃ±o Nuevo
2022-01-01,0.0,15.2,80,846.52,AÃ±o Nuevo
2022-01-02,0.0,15.9,82,816.58,
2022-01-03,0.0,18.6,75,832.49,
2022-01-04,2.6,17.0,77,804.97,
2022-01-05,7.8,8.7,83,1013.71,Cabalgata de Reyes Magos
2022-01-06,0.0,10.9,74,874.52,
2022-01-07,0.0,11.1,74,869.22,
2022-01-08,0.0,10.3,72,799.45,
2022-01-09,0.0,10.9,81,839.66,
2022-01-10,0.0,12.8,89,848.12,
2022-01-11,0.0,14.6,74,876.27,
2022-01-12,0.0,11.5,69,812.89,
2022-01-13,0.0,11.0,73,841.89,
2022-01-14,0.0,8.6,80,944.7,
2022-01-15,0.0,10.3,72,874.68,
2022-01-16,0.0,10.4,70,810.9,San AntÃ³n
2022-01-17,0.0,10.2,69,752.93,San AntÃ³n
2022-01-18,0.0,10.6,65,839.45,
2022-01-19,0.0,10.4,59,816.65,
2022-01-20,0.0,13.2,61,827.36,
2022-01-21,0.0,9.9,63,956.98,
2022-01-22,0.0,9.6,79,951.51,
2022-01-23,0.0,10.4,80,820.87,
2022-01-24,0.0,10.9,72,836.46,
2022-01-25,0.0,11.6,69,821.77,
2022-01-26,0.0,12.4,78,815.83,
2022-01-27,0.0,14.2,66,860.19,
2022-01-28,0.0,14.4,48,828.07,
2022-01-29,0.0,15.3,37,788.95,
2022-01-30,0.0,14.9,39,819.87,
2022-01-31,0.0,17.2,43,804.61,
2022-02-01,0.0,14.0,51,810.02,
2022-02-02,0.0,18.7,60,851.13,
2022-02-03,0.0,20.0,54,729.97,
2022-02-04,0.0,15.9,51,825.36,
2022-02-05,0.0,14.8,68,857.04,
2022-02-06,0.0,15.7,66,751.33,
2022-02-07,0.0,17.7,51,780.96,
2022-02-08,0.0,16.9,48,752.01,
2022-02-09,0.0,15.0,65,807.77,
2022-02-10,0.0,16.0,61,803.58,
2022-02-11,0.0,17.5,55,785.95,
2022-02-12,0.0,18.1,54,794.88,
2022-02-13,2.4,15.5,68,835.63,
2022-02-14,0.2,14.0,60,809.39,
2022-02-15,0.0,14.9,54,780.18,
2022-02-16,0.0,16.6,58,748.19,
2022-02-17,0.0,18.0,66,767.06,
2022-02-18,0.0,21.0,62,694.24,
2022-02-19,0.0,15.3,74,824.18,
2022-02-20,0.0,15.0,50,819.18,
2022-02-21,0.0,17.1,48,790.07,
2022-02-22,0.0,19.3,35,819.88,
2022-02-23,0.0,19.5,38,779.14,
2022-02-24,0.6,15.8,52,817.4,
2022-02-25,3.0,12.0,84,880.47,
2022-02-26,0.8,12.0,88,908.02,
2022-02-27,0.2,14.1,75,882.44,
2022-02-28,0.0,17.4,66,803.65,
2022-03-01,0.0,19.1,56,671.2,Carnaval
2022-03-02,0.0,16.3,58,692.03,Carnaval
2022-03-03,7.4,16.4,75,810.06,Carnaval
2022-03-04,0.0,11.2,63,709.64,Carnaval
